Number of words,1006
Number of unique words,139
Average word frequency,7.237410
Entropy,4.514918

Word,Frequency,Proportion,Entropy Term
suspensión,11,0.010934,0.049378
argentina,51,0.050696,0.151170
brasil,57,0.056660,0.162653
perú,14,0.013917,0.059489
reacción,3,0.002982,0.017341
papelón,3,0.002982,0.017341
video,18,0.017893,0.071989
fifa,3,0.002982,0.017341
partido,46,0.045726,0.141068
eliminatorias,52,0.051690,0.153131
lionel,13,0.012922,0.056197
messi,17,0.016899,0.068955
mensaje,3,0.002982,0.017341
tapia,3,0.002982,0.017341
vs,12,0.011928,0.052829
premier,5,0.004970,0.026363
league,5,0.004970,0.026363
corinthians,9,0.008946,0.042195
scaloni,6,0.005964,0.030549
anvisa,7,0.006958,0.034567
liga,3,0.002982,0.017341
copa,3,0.002982,0.017341
lima,5,0.004970,0.026363
foto,4,0.003976,0.021978
conmebol,6,0.005964,0.030549
local,3,0.002982,0.017341
españa,3,0.002982,0.017341
georgia,3,0.002982,0.017341
duelo,11,0.010934,0.049378
lapadula,3,0.002982,0.017341
venezuela,17,0.016899,0.068955
ricardo,3,0.002982,0.017341
gareca,3,0.002982,0.017341
cabeza,5,0.004970,0.026363
año,8,0.007952,0.038444
luz,3,0.002982,0.017341
barcelona,8,0.007952,0.038444
koeman,3,0.002982,0.017341
red,3,0.002982,0.017341
autoridad,6,0.005964,0.030549
jugador,18,0.017893,0.071989
familia,3,0.002982,0.017341
kane,3,0.002982,0.017341
domingo,4,0.003976,0.021978
selección,14,0.013917,0.059489
grupo,4,0.003976,0.021978
gol,4,0.003976,0.021978
b,3,0.002982,0.017341
m,3,0.002982,0.017341
inglaterra,4,0.003976,0.021978
compañero,3,0.002982,0.017341
peruana,6,0.005964,0.030549
niño,3,0.002982,0.017341
fútbol,4,0.003976,0.021978
punto,7,0.006958,0.034567
detalle,3,0.002982,0.017341
bale,4,0.003976,0.021978
victoria,3,0.002982,0.017341
gales,3,0.002982,0.017341
gareth,4,0.003976,0.021978
hattrick,3,0.002982,0.017341
triunfo,6,0.005964,0.030549
posición,3,0.002982,0.017341
qatar,8,0.007952,0.038444
jornada,6,0.005964,0.030549
mundial,4,0.003976,0.021978
rodrigo,5,0.004970,0.026363
efraín,3,0.002982,0.017341
sotacuro,3,0.002982,0.017341
hora,3,0.002982,0.017341
motivo,3,0.002982,0.017341
neymar,7,0.006958,0.034567
euros,4,0.003976,0.021978
vivo,10,0.009940,0.045837
tv,11,0.010934,0.049378
vía,6,0.005964,0.030549
movistar,15,0.014911,0.062709
play,3,0.002982,0.017341
pandemia,3,0.002982,0.017341
laporta,3,0.002982,0.017341
millón,4,0.003976,0.021978
fecha,34,0.033797,0.114484
minuto,12,0.011928,0.052829
chile,10,0.009940,0.045837
ecuador,13,0.012922,0.056197
quito,7,0.006958,0.034567
europeas,8,0.007952,0.038444
juegos,5,0.004970,0.026363
competencia,3,0.002982,0.017341
carlos,3,0.002982,0.017341
colombia,9,0.008946,0.042195
paraguay,9,0.008946,0.042195
defensores,4,0.003976,0.021978
chaco,4,0.003976,0.021978
bolivia,5,0.004970,0.026363
uruguay,5,0.004970,0.026363
alineación,4,0.003976,0.021978
día,8,0.007952,0.038444
medio,3,0.002982,0.017341
escándalo,3,0.002982,0.017341
equipo,10,0.009940,0.045837
futbolista,3,0.002982,0.017341
manchester,3,0.002982,0.017341
bono,3,0.002982,0.017341
sol,5,0.004970,0.026363
consulta,3,0.002982,0.017341
estadio,14,0.013917,0.059489
paz,5,0.004970,0.026363
delgado,4,0.003976,0.021978
sudamericanas,27,0.026839,0.097101
final,4,0.003976,0.021978
dt,6,0.005964,0.030549
pm,6,0.005964,0.030549
américa,3,0.002982,0.017341
cambio,3,0.002982,0.017341
cotejo,4,0.003976,0.021978
campo,5,0.004970,0.026363
juego,4,0.003976,0.021978
guerrero,3,0.002982,0.017341
arena,4,0.003976,0.021978
marcador,5,0.004970,0.026363
partidazo,5,0.004970,0.026363
resultado,3,0.002982,0.017341
francia,3,0.002982,0.017341
noche,4,0.003976,0.021978
incidente,3,0.002982,0.017341
balón,4,0.003976,0.021978
hd,8,0.007952,0.038444
getty,6,0.005964,0.030549
images,6,0.005964,0.030549
clasificatorias,8,0.007952,0.038444
deportes,3,0.002982,0.017341
ceremonia,4,0.003976,0.021978
clausura,4,0.003976,0.021978
paralímpicos,4,0.003976,0.021978
puesto,3,0.002982,0.017341
gracia,3,0.002982,0.017341
sub,4,0.003976,0.021978
masculino,4,0.003976,0.021978
